PCAP Date,LP Short Name,Field Num,Field, Amount 
3/31/2024,Dolce,2,Capital Calls,0
3/31/2024,Dolce,5,Distributions (Principal),0
3/31/2024,Dolce,6,Distributions (Income),"-76,716"
3/31/2024,Dolce,7,Interest Income,"125,005"
3/31/2024,Dolce,8,Realized Gain / (Loss),-377
3/31/2024,Dolce,9,Unrealized Gain / (Loss),82
3/31/2024,Dolce,10,Investment Expenses,-171
3/31/2024,Dolce,11,Management Fees,"-14,918"
3/31/2024,Dolce,13,Realized Carried Interest,-19179
3/31/2024,Dolce,14,Unrealized Carried Interest,"-1,758"
3/31/2024,Dolce,15,Fund Expenses,"-2,091"
3/31/2024,Dolce,16,Ending Capital Balance,3108463
3/31/2024,Indiana,1,Beginning Capital Balance,"268,569,602"
3/31/2024,Indiana,2,Capital Calls,0
3/31/2024,Indiana,5,Distributions (Principal),0
3/31/2024,Indiana,6,Distributions (Income),"-7,089,819"
3/31/2024,Indiana,7,Interest Income,"9,977,004"
3/31/2024,Indiana,8,Realized Gain / (Loss),-18868
3/31/2024,Indiana,9,Unrealized Gain / (Loss),"4,099"
3/31/2024,Indiana,10,Investment Expenses,-14542
3/31/2024,Indiana,11,Management Fees,-969067
3/31/2024,Indiana,13,Realized Carried Interest,"-1,251,144"
3/31/2024,Indiana,14,Unrealized Carried Interest,-40181
3/31/2024,Indiana,15,Fund Expenses,-188687
3/31/2024,Indiana,16,Ending Capital Balance,"268,978,397"
3/31/2024,Breeze,1,Beginning Capital Balance,107434820
3/31/2024,Breeze,2,Capital Calls,0
3/31/2024,Breeze,5,Distributions (Principal),-432740
3/31/2024,Breeze,6,Distributions (Income),-3355128
3/31/2024,Breeze,7,Interest Income,"4,066,124"
3/31/2024,Breeze,8,Realized Gain / (Loss),0
3/31/2024,Breeze,9,Unrealized Gain / (Loss),0
3/31/2024,Breeze,10,Investment Expenses,-5653
3/31/2024,Breeze,11,Management Fees,-382297
3/31/2024,Breeze,13,Realized Carried Interest,"-592,081"
3/31/2024,Breeze,14,Unrealized Carried Interest,60531
3/31/2024,Breeze,15,Fund Expenses,-68056
3/31/2024,Breeze,16,Ending Capital Balance,"106,725,519"
3/31/2024,Gabbana,1,Beginning Capital Balance,0
3/31/2024,Gabbana,2,Capital Calls,165000
3/31/2024,Gabbana,5,Distributions (Principal),0
3/31/2024,Gabbana,6,Distributions (Income),0
3/31/2024,Gabbana,7,Interest Income,"4,344"
